Soubor s 100 mesty.
Kazdy radek reprezentuje souradnice [x,y] jednoho mesta.
Prvni mesto je depot.

1027	991
19	674
923	937
53	857
761	906
178	24
186	721
239	470
178	304
264	118
273	305
327	265
364	892
406	793
408	513
457	334
527	400
589	632
611	723
629	123
652	210
776	392
839	620
514	165
780	57
1075	224
1053	624
1083	57
1103	857
1154	24
1167	400
1186	906
1224	721
1241	341
1268	470
1883	305
1294	118
1426	227
1579	832
1397	825
1432	513
1457	334
1592	632
1711	673
1672	123
1673	210
1776	392
1839	620
1550	30
1900	1000
1129	1234
1053	1692
982	1951
1083	1072
1083	1832
1154	1028
1167	1421
1186	1900
1224	1783
1241	1357
1149	1563
1283	1228
1294	1127
1356	1273
1379	1839
1597	1878
1432	1528
1457	1346
1592	1621
1511	1684
1672	1121
1673	1243
1776	1342
1839	1602
1880	1920
19	1692
27	1951
53	1832
161	1900
128	1528
186	1783
239	1463
241	1357
64	1252
273	1228
327	1273
484	1889
376	1808
408	1528
457	1346
527	1421
688	1529
611	1729
629	1121
652	1243
776	1342
839	1602
920	1182
980	1072
455	1011
