Soubor s 200 mesty.
Kazdy radek reprezentuje souradnice [x,y] jednoho mesta.
Prvni mesto je depot.

2097	981
14	454
19	674
22	1617
22	987
29	6
40	462
43	1957
53	857
86	1065
99	536
123	862
138	1610
161	906
178	24
185	1542
192	1004
198	1810
213	220
219	898
234	1118
241	341
242	584
252	1240
274	1420
298	1513
323	1714
327	265
376	825
378	1048
396	828
457	1607
457	334
463	1670
482	1337
554	1825
611	673
611	1384
693	1383
705	1812
721	186
737	1285
738	1325
742	1025
776	392
779	777
781	671
805	272
812	351
826	1226
834	629
839	620
868	731
872	1559
890	1846
901	1552
913	317
928	1700
929	1766
938	955
953	268
960	303
984	965
1000	457
1027	1041
1031	428
1058	372
1097	643
1115	1052
1178	100
1183	1391
1187	706
1234	1946
1247	1945
1251	1832
1256	61
1286	525
1307	964
1323	280
1327	1893
1357	1905
1362	1526
1380	939
1393	1368
1410	307
1424	1728
1429	134
1533	1780
1544	863
1621	1830
1625	1651
1660	1556
1724	1642
1774	107
1779	90
1787	1009
1795	962
1807	1711
1838	1732
1868	197
1917	687
2048	1628
2049	417
2082	1753
2139	1806
2178	978
2178	1619
2221	291
2232	1374
2290	1810
2302	1127
2312	1949
2318	1925
2361	640
2365	1649
2421	1007
2433	1538
2469	1838
2482	1183
2499	658
2513	1572
2519	135
2542	236
2552	1909
2573	1969
2573	599
2574	946
2576	189
2576	1676
2586	1286
2588	302
2597	1830
2599	901
2628	1479
2636	727
2650	802
2678	1825
2687	1353
2716	1432
2721	1482
2728	1698
2773	1286
2781	478
2848	96
2863	558
2933	1459
2936	337
2945	1622
2961	1605
2990	214
2991	792
3022	474
3078	1541
3085	1528
3092	1668
3099	173
3113	885
3124	408
3174	1064
3213	1085
3249	378
3278	799
3297	491
3314	1881
3373	1646
3384	1498
3394	1028
3409	1917
3416	143
3447	1830
3479	821
3499	1885
3510	1671
3520	1079
3564	676
3586	1909
3635	1174
3640	43
3646	1018
3683	1533
3704	1082
3729	1188
3736	1542
3756	882
3806	746
3808	1375
3815	169
3822	899
3835	963
3853	1712
3854	923
3874	1318
3875	598
3888	666
3893	102
3911	1673
3913	192
3939	640
3950	1558
3955	1743
